,0
2022-08-24,10386.031360604164
2022-08-25,10550.746265742451
2022-08-26,10062.462640710524
2022-08-29,9962.874804906405
2022-08-30,9825.151947451594
2022-08-31,9715.908951430254
2022-09-01,9553.398284116762
2022-09-02,9404.392236493813
2022-09-06,9350.26355513554
2022-09-07,9506.327063232617
2022-09-08,9580.26440628913
2022-09-09,9662.137589162998
2022-09-12,9739.434889944361
2022-09-13,9226.449195325236
2022-09-14,9230.79767968207
2022-09-15,9202.702698503394
2022-09-16,9269.435550826433
2022-09-19,9359.322762387763
2022-09-20,9318.855428978197
2022-09-21,9264.554806013388
2022-09-22,9160.710064446053
2022-09-23,9128.426666948231
2022-09-26,9040.70753291888
2022-09-27,9022.41522285806
2022-09-28,9176.913370817212
2022-09-29,9000.50181935222
2022-09-30,8888.123992564597
2022-10-03,9064.96863789086
2022-10-04,9278.563092468337
2022-10-05,10045.115083101091
2022-10-06,9886.017763457254
2022-10-07,9625.337885284089
2022-10-10,12375.457470319987
2022-10-11,12335.272709121124
2022-10-12,12637.769282790083
2022-10-13,13064.146798461903
2022-10-14,12695.455439984846
2022-10-17,13029.66945258952
2022-10-18,13158.759543868531
2022-10-19,13055.78837501776
2022-10-20,12978.898115735308
2022-10-21,13180.762696866574
2022-10-24,13489.903097144846
2022-10-25,13640.495842203778
2022-10-26,13305.734607383472
2022-10-27,13245.641089538614
2022-10-28,13618.499164465073
2022-10-31,13491.460353913219
2022-11-01,13390.65268561798
2022-11-02,13106.051787661738
2022-11-03,15392.740869350882
2022-11-04,15684.780706829404
2022-11-07,15973.261833140528
2022-11-08,16030.31227515965
2022-11-09,15782.470827609475
2022-11-10,16563.189981984997
2022-11-11,16542.416212751297
2022-11-14,16290.718590584629
2022-11-15,16325.895957946963
2022-11-16,16392.31447950256
2022-11-17,16466.844783143977
2022-11-18,16509.198192946198
2022-11-21,14216.659026749869
2022-11-22,14386.434122733323
2022-11-23,14549.375395148976
2022-11-25,14635.163937975141
2022-11-28,14376.103381440196
2022-11-29,14278.460705747946
2022-11-30,15014.723946958937
2022-12-01,14877.137090919294
2022-12-02,14898.742143111442
2022-12-05,14718.783500447023
2022-12-06,14590.684511504067
2022-12-07,14605.12818699161
2022-12-08,14766.805457415037
2022-12-09,14599.745780774636
2022-12-12,14920.976429758131
2022-12-13,14987.930886592465
2022-12-14,14999.923868838181
2022-12-15,14594.482878725375
2022-12-16,14399.633626156352
2022-12-19,14251.310755173377
2022-12-20,14259.95409825283
2022-12-21,14433.904050886173
2022-12-22,14212.204894009326
2022-12-23,14278.53442265559
2022-12-27,14224.752832540438
2022-12-28,14100.477969188341
2022-12-29,14341.56304500077
2022-12-30,14303.633465419203
