,MSFT,UNH
,NVDA,PEP
Date,,
2021-03-29,-0.3713173599548784,-0.2804967068900891
2021-03-30,-0.658324708204875,-0.11588910182008876
2021-03-31,-0.5433439510167898,0.019344703054248222
2021-04-01,-0.16234747721998669,-0.19232349136037033
2021-04-05,0.39310914492247334,-0.39919960160008544
2021-04-06,0.34583447542594925,-0.7801488363073464
2021-04-07,0.3866476830822251,-0.6685328085999277
2021-04-08,0.6155437218651456,-0.5391567999668058
2021-04-09,0.8220667563085576,0.012145655644047725
2021-04-12,0.37571572976677814,-0.07468114553762832
2021-04-13,0.36370222764696847,-0.16731157522675197
2021-04-14,0.3065812477960498,0.0672147385631904
2021-04-15,0.2060944610384351,0.7310736836387426
2021-04-16,0.45233431387714673,0.42692166879591964
2021-04-19,0.5656241808018931,0.2572223652387546
2021-04-20,0.6254137680851037,0.40065486730224664
2021-04-21,0.745311954261736,0.2696639515168896
2021-04-22,0.6988072707887589,0.33245647173570275
2021-04-23,0.8539986947408207,0.5623036072343391
2021-04-26,0.7739941671633589,0.8163348736349703
2021-04-27,0.8686479253378544,0.8396105102002952
2021-04-28,0.20652716441599728,1.0462549290799232
2021-04-29,-0.019711497181722933,0.9834528879768215
2021-04-30,0.12439197216567745,0.8072252257467695
2021-05-03,0.18982177002781034,0.8428374330616006
2021-05-04,0.0652833231455275,1.4575830850000397
2021-05-05,-0.12307159709192275,1.5275721764669135
2021-05-06,0.15799249920165362,1.3295161315965154
2021-05-07,0.26187866213251376,1.4603545331601282
2021-05-10,0.05373164845465808,1.397200873105231
2021-05-11,-0.06131345499622827,1.1527117689140542
2021-05-12,-0.45845308763183257,1.1146094700805596
2021-05-13,-0.014314061238384516,0.8620340937546704
2021-05-14,0.16080267878764243,0.8805982535964565
2021-05-17,-0.08478520722242651,0.903610992744502
2021-05-18,-0.20535623780386122,1.1149726943096316
2021-05-19,-0.174810457960608,1.087278793114071
2021-05-20,-0.1528088012250006,0.7018490071690667
2021-05-21,-0.492518888618744,0.8726231109499324
2021-05-24,-0.2922335481670448,0.6963251483863027
2021-05-25,-0.22056211364589628,0.7129996941731697
2021-05-26,-0.27219125295436264,0.7208106335491057
2021-05-27,-0.3662436873407139,1.0374415710541982
2021-05-28,-0.7530176217398723,0.7265180839512633
2021-06-01,-0.9864911704171904,0.5318004224419697
2021-06-02,-1.2833946058469954,0.37675331357840164
2021-06-03,-1.5454610553984653,0.3788601484615546
2021-06-04,-1.3902827192316647,0.2329266073723068
2021-06-07,-1.1186112544976223,-0.012914731478805525
2021-06-08,-1.1489571726886187,0.325049650654207
2021-06-09,-0.9965367025357806,0.3457014897023521
2021-06-10,-0.677986489178349,0.07645265315657135
2021-06-11,-0.8383807539060156,-0.1165972999693544
2021-06-14,-0.75155332178709,-0.2237276485011117
2021-06-15,-0.7720079759646405,-0.17097282689694387
2021-06-16,-0.8797178877323939,-0.03445686751810727
2021-06-17,-1.010054540077566,-0.302480847395754
2021-06-18,-1.1430292905501795,-0.02664049594914248
2021-06-21,-0.7127922993644125,0.18054772808242453
2021-06-22,-0.688889440594904,0.16864003052505633
2021-06-23,-0.8076077991145765,0.3862071198167164
2021-06-24,-0.7520375256785339,0.39080193958035125
2021-06-25,-0.8173127220009461,0.5464855174800207
2021-06-28,-0.9899133691199301,0.25439999213297504
2021-06-29,-0.7519592445951795,0.10897939337764227
2021-06-30,-0.7871507796006743,-0.012763620337401442
2021-07-01,-0.836030521809017,0.19951909644642976
2021-07-02,-0.3998940008206921,0.2820796407651338
2021-07-06,-0.5171663680806156,0.28390043430327794
2021-07-07,-0.11316344099626983,0.22565466980284268
2021-07-08,-0.09568285884204472,0.12841513799516996
2021-07-09,-0.12744362593453684,0.30728069579387773
2021-07-12,-0.4463340087914022,0.4940844558427768
2021-07-13,0.057278343878601895,-0.046495219537151675
2021-07-14,0.43483277155506367,-0.536357637161142
2021-07-15,0.7798609746731638,-0.4126325380769687
2021-07-16,1.202758274059409,-0.5393423997133685
2021-07-19,0.49218229047781276,-1.0568344757204577
2021-07-20,0.8111885441081121,-0.8691029943804035
2021-07-21,0.5678439844381064,-0.6757929234076752
2021-07-22,0.9271284270021622,-0.6108240668126991
2021-07-23,1.2914262480707819,-0.8987178110406828
2021-07-26,1.3785747971994935,-1.0814125989585839
2021-07-27,1.1819408424139166,-1.1721887739285264
2021-07-28,0.9858024281844308,-1.1840550602494233
2021-07-29,0.9242119869709031,-1.1029741151192431
2021-07-30,0.8603135584907484,-1.1230193397867734
2021-08-02,0.7112067789045714,-0.8377941479728457
2021-08-03,0.8991263019425251,-0.5949000647290968
2021-08-04,0.5830357651519001,-0.10899865524600011
2021-08-05,0.6735633100192225,-0.6660965263997518
